Pull Request,Line of code +,Line of code -
https://github.com/plataformatec/devise/pull/4731,38,-3
https://github.com/plataformatec/devise/pull/4727,1,-1
https://github.com/plataformatec/devise/pull/4725,397,0
https://github.com/plataformatec/devise/pull/4704,19,0
https://github.com/plataformatec/devise/pull/4694,6,0
https://github.com/plataformatec/devise/pull/4692,2,-2
https://github.com/plataformatec/devise/pull/4687,5,-5
https://github.com/plataformatec/devise/pull/4686,1,-1
https://github.com/plataformatec/devise/pull/4683,0,-7
https://github.com/plataformatec/devise/pull/4682,0,-4
https://github.com/plataformatec/devise/pull/4680,1,-1
https://github.com/plataformatec/devise/pull/4674,61,-1
https://github.com/plataformatec/devise/pull/4668,1,-1
https://github.com/plataformatec/devise/pull/4655,6,-1
https://github.com/plataformatec/devise/pull/4645,4,-4
https://github.com/plataformatec/devise/pull/4643,6,-6
https://github.com/plataformatec/devise/pull/4621,44,0
https://github.com/plataformatec/devise/pull/4565,4,-4
https://github.com/plataformatec/devise/pull/4550,1,-1
https://github.com/plataformatec/devise/pull/4528,1,-1
https://github.com/plataformatec/devise/pull/4523,1,-1
https://github.com/plataformatec/devise/pull/4516,26,-20
https://github.com/plataformatec/devise/pull/4512,258,-7
https://github.com/plataformatec/devise/pull/4506,1,-1
https://github.com/plataformatec/devise/pull/4504,1,-1
https://github.com/plataformatec/devise/pull/4503,1,-1
https://github.com/plataformatec/devise/pull/4461,1,-1
https://github.com/plataformatec/devise/pull/4456,18,-4
https://github.com/plataformatec/devise/pull/4455,176,-7
https://github.com/plataformatec/devise/pull/4445,12,-10
https://github.com/plataformatec/devise/pull/4434,15,-1
https://github.com/plataformatec/devise/pull/4426,26,-1
https://github.com/plataformatec/devise/pull/4403,1,-1
https://github.com/plataformatec/devise/pull/4391,22,-6
